id,name,yamakei,yamap,wikipedia,yamakei_id,yamap_id,wikipedia_title
270,荒沢岳,O,O,O,307,9268,荒沢岳
271,巻機山,O,O,O,309,162,巻機山
272,石狩岳,O,O,O,48,422,石狩岳
273,毛無山,O,O,O,398,16,毛無山 (山梨県・静岡県)
274,忠別岳,O,O,O,40,7812,忠別岳
275,雨飾山,O,O,O,430,165,雨飾山
276,袈裟丸山,X,O,O,,2415,袈裟丸山
277,戸蔦別岳,O,O,O,74,14784,戸蔦別岳
278,入笠山,O,O,O,576,16115,入笠山
279,剣山,O,O,O,906,94,剣山
280,万太郎山,O,O,O,316,15501,万太郎山
281,東吾妻山,O,O,O,223,48,東吾妻山
282,朝日岳,O,O,O,311,6407,朝日岳 (群馬県)
283,宮之浦岳,O,O,O,1041,104,宮之浦岳
284,音更山,O,O,O,49,4566,音更山
285,二ノ森,O,X,O,930,,二ノ森
286,鉢伏山,O,O,O,441,553,鉢伏山 (筑摩山地)
287,下津川山,X,O,O,,17035,下津川山
288,西吾妻山,O,X,O,221,,西吾妻山
289,霧ヶ峰,O,O,O,442,129,霧ヶ峰
290,上ホロカメットク山,O,O,O,45,7020,上ホロカメットク山
291,三本槍岳,O,O,O,264,95,三本槍岳
292,早池峰山,O,O,O,146,39,早池峰山
293,飯縄山（飯綱山）,O,O,O,436,4405,飯縄山
294,ピパイロ岳,O,O,O,73,3678,ピパイロ岳
295,八経ヶ岳,O,O,O,757,119,八経ヶ岳
296,那須岳,O,O,O,265,8564,那須岳
297,富良野岳,O,O,O,46,7090,富良野岳
298,大佐飛山,O,O,O,267,17076,大佐飛山地
299,戸隠山,O,O,O,435,8974,戸隠山
300,エサオマントッタベツ岳,O,O,O,76,17439,エサオマントッタベツ岳
301,羊蹄山（蝦夷富士）,O,O,O,105,153,羊蹄山
302,瓶ヶ森,O,O,O,928,9996,瓶ヶ森
303,弥山,O,O,O,756,4933,弥山 (奈良県)
304,札内岳,O,O,O,77,17416,札内岳
305,三嶺,O,O,O,913,79,三嶺
306,庚申山,O,O,O,276,16933,庚申山
307,鬼面山,O,O,O,619,13949,鬼面山 (伊那山地)
308,風吹岳,O,O,O,464,6358,乗鞍岳 (白馬連峰)
309,永田岳,O,O,O,1042,5079,永田岳
310,ニセイカウシュッペ山,O,O,O,31,614,ニセイカウシュッペ山
311,チロロ岳,O,O,O,72,3686,チロロ岳
312,武利岳,O,O,O,32,613,武利岳
313,猿ヶ馬場山,O,O,O,666,19446,猿ヶ馬場山 (岐阜県)
314,雁ケ腹摺山,O,O,O,370,6717,雁ヶ腹摺山
315,朝日岳,O,O,O,237,44,朝日岳 (山形県・新潟県)
316,笹ヶ峰,O,X,O,926,,笹ヶ峰
317,筒上山,O,O,O,931,7771,岩黒山
318,僧ヶ岳,O,O,O,492,19680,僧ヶ岳
319,白倉山,O,O,X,629,2636,
320,矢筈山,O,O,O,909,8550,石堂山 (徳島県)
321,ウペペサンケ山,O,O,O,51,421,ウペペサンケ山
322,十勝幌尻岳,O,O,O,78,17440,十勝幌尻岳
323,１８３９峰,X,X,O,,,1839峰
324,笈ヶ岳,O,O,O,679,8554,笈ヶ岳
325,蔵王山,O,O,O,212,191,蔵王連峰
326,赤城山,O,O,O,279,21,赤城山
327,蔵王山,O,O,O,214,2985,蔵王連峰
328,大笠山,O,O,O,678,19461,大笠山
329,丸山岳,X,O,O,,17913,会津朝日岳
330,横尾山,O,O,O,349,16089,横尾山
331,御前岳,O,O,O,667,19449,飛騨高地
332,磐梯山,O,O,O,228,158,磐梯山
333,天狗塚,O,X,O,912,,天狗塚
334,奥三界岳,O,O,O,551,3396,奥三界岳
335,仏生嶽,X,X,O,,,大峰山脈
336,釈迦ヶ岳,X,O,O,,74,釈迦ヶ岳 (奈良県)
337,高原山,O,O,O,268,8578,高原山
338,黒岳,O,O,O,393,16010,黒岳 (御坂山地)
339,くじゅう連山,O,O,O,967,247,九重山
340,くじゅう連山,X,O,O,,187,九重山
341,くじゅう連山,O,O,O,972,6,九重山
342,三ッ峠山,O,O,O,392,92,三つ峠
343,大普賢岳,O,O,O,755,77,大普賢岳
344,八海山,O,O,O,305,9315,八海山
345,男鹿岳,O,O,O,266,1572,大佐飛山地
346,以東岳,O,O,O,236,197,以東岳
347,白髪山,O,O,O,914,9244,白髪山 (高知県香美市)
348,三ヶ辻山,O,O,O,665,19495,三ヶ辻山
349,くじゅう連山,O,O,O,971,2602,九重山
350,武華山,O,O,O,33,17671,武華山
351,蔵王山,O,O,O,213,13765,蔵王連峰
352,浅間隠山,O,O,O,336,16579,浅間隠山
353,鳥海山,X,X,O,,,鳥海山
354,伊予富士,O,O,O,927,8011,伊予富士
355,祖母山,O,O,O,1004,5,古祖母山
356,芽室岳,O,O,O,70,3694,芽室岳
357,イドンナップ岳,O,O,O,79,2708,イドンナップ岳
358,くじゅう連山,O,O,O,970,6446,九重山
359,国見岳,O,O,O,1008,4331,国見岳 (熊本県・宮崎県)
360,ペテガリ岳,O,O,O,82,2641,ペテガリ岳
361,三方岩岳,O,O,O,680,1437,三方岩岳
362,節刀ヶ岳,O,O,O,395,3553,十二ヶ岳 (山梨県)
363,大山,O,O,O,832,87,大山 (鳥取県)
364,箕輪山,O,O,O,225,4350,安達太良山
365,人形山,O,O,O,664,14406,人形山
366,十枚山,O,O,O,645,3076,十枚山
367,芦別岳,O,O,O,65,17474,芦別岳
368,両神山,O,O,O,345,24,両神山
369,利尻山（利尻富士）,O,O,O,18,80,利尻山
370,市房山,O,O,O,1011,7203,市房山
371,朝日岳,O,X,O,312,,朝日岳 (群馬県)
372,山上ヶ岳,O,O,O,754,76,大峰山
373,酉谷山,O,O,O,362,16237,熊倉山 (埼玉県)
374,鶏冠山（黒川山）,O,O,O,367,14412,鶏冠山 (山梨県甲州市)
375,塔丸,O,O,O,908,8736,塔丸
376,小楢山,O,O,O,356,16097,小楢山
377,剣山,O,O,O,907,8735,剣山
378,大日ヶ岳,O,O,O,688,1391,大日ヶ岳
379,安達太良山,X,X,O,,,安達太良山
